Gender,Own_car,Own_property,Num_children,Income,Income_type,Family_status,Work_phone,Phone,Occupation_type,Age,Target
0,0,1,0,41,0.04703328509406657,0.030788105392300053,0,0,0.03436380522754411,40,0
0,0,1,0,104,0.028560577288264336,0.030788105392300053,0,0,0.03184014053579271,16,0
0,1,1,2,62,0.026530612244897958,0.030788105392300053,0,0,0.04245671887881286,10,0
1,0,1,0,104,0.026530612244897958,0.042884990253411304,0,0,0.04245671887881286,9,0
1,1,1,0,192,0.028560577288264336,0.042884990253411304,0,0,0.02263540824575586,4,0
0,0,1,0,212,0.028560577288264336,0.030788105392300053,0,0,0.034660421545667446,38,0
0,0,1,3,230,0.04703328509406657,0.030788105392300053,0,0,0.03436380522754411,41,0
0,0,0,0,32,0.04703328509406657,0.030788105392300053,0,0,0.03436380522754411,41,0
1,1,1,0,118,0.028560577288264336,0.037598944591029027,0,0,0.034660421545667446,34,0
0,1,1,0,77,0.04703328509406657,0.030788105392300053,0,0,0.03436380522754411,28,0
0,0,1,0,54,0.028560577288264336,0.042884990253411304,0,0,0.03436380522754411,33,1
0,1,1,0,145,0.028560577288264336,0.030788105392300053,0,0,0.02263540824575586,22,0
1,1,1,2,192,0.03476581361661033,0.030788105392300053,0,0,0.03184014053579271,24,0
1,0,1,0,222,0.03476581361661033,0.030788105392300053,0,1,0.026650514839491216,24,0
0,0,1,0,145,0.028560577288264336,0.04857142857142857,0,0,0.008547008547008548,43,0
1,0,0,0,104,0.028560577288264336,0.030788105392300053,0,0,0.03436380522754411,20,0
0,0,1,0,62,0.04703328509406657,0.037598944591029027,0,0,0.03436380522754411,33,0
1,1,1,0,77,0.028560577288264336,0.030788105392300053,0,1,0.08496732026143791,42,0
0,0,0,0,62,0.028560577288264336,0.02254283137962128,0,0,0.02763819095477387,28,0
1,0,0,1,180,0.028560577288264336,0.037598944591029027,0,1,0.042726347914547304,24,0
1,1,0,2,197,0.026530612244897958,0.030788105392300053,0,1,0.026650514839491216,22,0
0,0,1,0,192,0.04703328509406657,0.042884990253411304,0,1,0.03436380522754411,38,0
1,1,1,1,170,0.028560577288264336,0.030788105392300053,0,0,0.034660421545667446,21,0
0,0,1,0,145,0.026530612244897958,0.030788105392300053,0,0,0.04245671887881286,27,0
0,1,1,1,197,0.03476581361661033,0.042884990253411304,1,1,0.03288672350791717,17,0
1,0,0,0,120,0.026530612244897958,0.030788105392300053,0,0,0.04245671887881286,12,0
0,0,1,0,54,0.04703328509406657,0.037598944591029027,0,0,0.03436380522754411,43,0
0,0,1,0,77,0.028560577288264336,0.042884990253411304,0,0,0.02263540824575586,2,0
1,1,1,2,70,0.026530612244897958,0.030788105392300053,0,0,0.026650514839491216,25,0
0,1,1,1,77,0.028560577288264336,0.030788105392300053,0,0,0.02263540824575586,11,0
0,0,1,2,104,0.03476581361661033,0.02254283137962128,0,1,0.03184014053579271,16,0
0,0,0,0,192,0.026530612244897958,0.030788105392300053,0,1,0.03288672350791717,11,0
1,1,1,1,180,0.028560577288264336,0.030788105392300053,0,0,0.02263540824575586,5,0
0,0,1,0,77,0.04703328509406657,0.030788105392300053,0,0,0.03436380522754411,38,0
1,0,1,0,77,0.028560577288264336,0.042884990253411304,0,0,0.03184014053579271,5,0
1,1,1,0,202,0.03476581361661033,0.030788105392300053,0,0,0.026650514839491216,39,0
0,0,0,0,41,0.028560577288264336,0.04857142857142857,0,0,0.026694045174537988,33,0
0,1,1,1,77,0.03476581361661033,0.02254283137962128,0,0,0.04245671887881286,8,0
1,1,1,0,120,0.028560577288264336,0.042884990253411304,0,0,0.042726347914547304,2,0
0,0,1,0,145,0.028560577288264336,0.030788105392300053,1,1,0.042726347914547304,30,0
0,0,0,0,128,0.026530612244897958,0.030788105392300053,0,1,0.034660421545667446,24,0
1,1,0,0,104,0.04703328509406657,0.030788105392300053,0,0,0.03436380522754411,8,0
1,0,1,0,135,0.03476581361661033,0.030788105392300053,0,0,0.03184014053579271,26,0
1,1,1,0,145,0.026530612244897958,0.042884990253411304,0,0,0.04245671887881286,3,0
1,0,1,0,247,0.03476581361661033,0.042884990253411304,0,0,0.02263540824575586,31,0
0,0,1,1,75,0.028560577288264336,0.030788105392300053,0,0,0.03116883116883117,12,0
1,1,0,0,104,0.028560577288264336,0.030788105392300053,1,1,0.02912621359223301,4,0
0,0,1,0,104,0.04703328509406657,0.030788105392300053,0,1,0.03436380522754411,43,0
0,0,1,2,120,0.026530612244897958,0.030788105392300053,1,1,0.04245671887881286,7,0
0,1,0,0,145,0.028560577288264336,0.030788105392300053,1,0,0.04245671887881286,20,1
0,0,1,1,104,0.028560577288264336,0.037598944591029027,0,0,0.02263540824575586,7,0
0,0,1,0,62,0.028560577288264336,0.030788105392300053,0,1,0.02763819095477387,10,0
0,1,1,0,104,0.028560577288264336,0.02254283137962128,0,0,0.02763819095477387,29,0
0,0,1,0,75,0.04703328509406657,0.030788105392300053,0,1,0.03436380522754411,43,0
1,1,0,2,170,0.03476581361661033,0.030788105392300053,0,0,0.03436380522754411,20,0
0,0,0,0,207,0.03476581361661033,0.030788105392300053,1,0,0.034660421545667446,29,0
0,1,0,0,145,0.03476581361661033,0.042884990253411304,1,0,0.04245671887881286,7,0
0,0,1,1,104,0.03476581361661033,0.030788105392300053,0,0,0.02912621359223301,17,0
1,1,0,2,192,0.028560577288264336,0.030788105392300053,0,1,0.03436380522754411,12,0
0,0,0,0,106,0.028560577288264336,0.042884990253411304,0,1,0.03436380522754411,12,0
0,0,1,0,247,0.026530612244897958,0.030788105392300053,0,0,0.034660421545667446,38,0
0,0,1,0,180,0.028560577288264336,0.037598944591029027,1,1,0.03184014053579271,32,0
1,0,1,1,222,0.03476581361661033,0.030788105392300053,0,0,0.034660421545667446,12,0
0,1,0,0,158,0.04703328509406657,0.030788105392300053,0,0,0.03436380522754411,39,0
1,1,1,1,202,0.03476581361661033,0.030788105392300053,0,1,0.03436380522754411,8,0
1,1,1,0,212,0.028560577288264336,0.030788105392300053,1,1,0.034660421545667446,31,0
1,1,1,0,145,0.028560577288264336,0.030788105392300053,0,0,0.026650514839491216,16,0
0,0,1,0,77,0.028560577288264336,0.030788105392300053,0,0,0.03436380522754411,38,1
1,1,1,2,120,0.028560577288264336,0.030788105392300053,0,1,0.026650514839491216,15,0
0,0,0,0,28,0.04703328509406657,0.030788105392300053,0,1,0.03436380522754411,35,0
0,0,1,0,158,0.028560577288264336,0.037598944591029027,0,0,0.03184014053579271,21,0
1,1,0,0,89,0.03476581361661033,0.042884990253411304,0,0,0.03184014053579271,5,0
0,0,1,0,128,0.028560577288264336,0.030788105392300053,0,1,0.03436380522754411,27,0
1,0,1,1,77,0.028560577288264336,0.030788105392300053,0,0,0.026650514839491216,26,0
0,1,1,1,145,0.028560577288264336,0.037598944591029027,0,0,0.034660421545667446,31,0
0,1,1,0,73,0.04703328509406657,0.02254283137962128,0,1,0.03436380522754411,42,0
0,0,0,0,104,0.04703328509406657,0.04857142857142857,0,0,0.03436380522754411,44,0
1,1,1,1,120,0.03476581361661033,0.030788105392300053,1,0,0.026650514839491216,10,0
0,0,1,0,145,0.028560577288264336,0.030788105392300053,0,0,0.02263540824575586,6,0
0,1,0,1,145,0.026530612244897958,0.030788105392300053,0,0,0.04245671887881286,28,0
1,1,1,0,218,0.028560577288264336,0.02254283137962128,0,0,0.03184014053579271,9,0
0,1,0,0,104,0.028560577288264336,0.030788105392300053,0,0,0.03436380522754411,29,0
0,0,1,0,41,0.028560577288264336,0.037598944591029027,1,0,0.02263540824575586,16,0
1,1,1,1,170,0.03476581361661033,0.030788105392300053,0,0,0.034660421545667446,10,0
0,1,1,0,75,0.028560577288264336,0.037598944591029027,0,0,0.03116883116883117,27,0
0,0,1,1,179,0.028560577288264336,0.030788105392300053,0,0,0.04245671887881286,19,0
0,0,0,0,94,0.026530612244897958,0.030788105392300053,0,0,0.04245671887881286,21,0
0,0,1,1,104,0.03476581361661033,0.030788105392300053,0,1,0.04245671887881286,15,0
0,0,1,0,120,0.026530612244897958,0.02254283137962128,0,0,0.03436380522754411,15,0
0,0,0,2,77,0.026530612244897958,0.030788105392300053,0,0,0.04245671887881286,11,0
0,1,1,1,180,0.028560577288264336,0.030788105392300053,0,0,0.034660421545667446,13,0
0,0,1,0,62,0.04703328509406657,0.042884990253411304,0,0,0.03436380522754411,40,0
1,1,0,0,192,0.03476581361661033,0.042884990253411304,0,0,0.04245671887881286,6,0
1,0,1,0,192,0.028560577288264336,0.02254283137962128,0,0,0.034660421545667446,13,0
1,1,1,0,62,0.04703328509406657,0.030788105392300053,0,0,0.03436380522754411,36,0
